2022-11-02 09:59:27.078 [Thread-1] INFO   - 1 922 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 922 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-1] INFO   - 1 923 ms
2022-11-02 09:59:27.079 [Thread-1] INFO   - 1 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.079 [Thread-2] INFO   - 2 923 ms
2022-11-02 09:59:27.080 [Thread-1] INFO   - 1 923 ms
2022-11-02 09:59:27.080 [Thread-1] INFO   - 1 924 ms
2022-11-02 09:59:27.080 [Thread-1] INFO   - 1 924 ms
2022-11-02 09:59:27.080 [Thread-2] INFO   - 2 924 ms
2022-11-02 09:59:27.080 [Thread-2] INFO   - 2 924 ms
2022-11-02 09:59:27.080 [Thread-1] INFO   - 1 924 ms
2022-11-02 09:59:27.080 [Thread-1] INFO   - 1 924 ms
2022-11-02 09:59:27.080 [Thread-1] INFO   - 1 924 ms
2022-11-02 09:59:27.080 [Thread-1] INFO   - 1 924 ms
2022-11-02 09:59:27.080 [Thread-1] INFO   - 1 924 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 924 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.081 [Thread-2] INFO   - 2 925 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 925 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.082 [Thread-1] INFO   - 1 926 ms
2022-11-02 09:59:27.084 [Thread-2] INFO   - 2 926 ms
2022-11-02 09:59:27.084 [Thread-2] INFO   - 2 928 ms
